feature,importance
app_category_Productivity,0.35761926
app_category_System,0.17281412
is_study_period,0.06455695
is_class_time,0.052190173
app_category_Social,0.039289355
is_late_night,0.03713236
time_of_day_Night,0.033042282
app_category_Entertainment,0.031403348
app_category_Gaming,0.028091174
notification_count,0.021156264
task_priority_High,0.020470234
assignment_count,0.019184835
duration_minutes,0.017842842
hours_to_deadline,0.017540786
task_priority_Low,0.01685443
is_weekend,0.012796778
unlock_count,0.011144372
day_of_week,0.009859751
time_of_day_Morning,0.008919902
hour,0.0076182927
time_of_day_Evening,0.0070347968
task_priority_Medium,0.006975981
time_of_day_Afternoon,0.0064616995
