student_id,timestamp,time_of_day,app_category,duration_minutes,is_class_time,is_study_period,is_late_night,hours_to_deadline,task_priority,assignment_count,notification_count,unlock_count,procrastination_level
24522824,2026-05-07 23:53:41,Night,Social,37,0,0,1,167.37,Low,5,18,6,High
24522824,2026-05-08 01:51:41,Night,Gaming,55,0,0,1,165.4,Medium,4,9,11,High
24522824,2026-05-08 04:00:41,Night,Gaming,50,0,0,1,163.25,High,0,12,4,Medium
24522824,2026-05-08 04:39:41,Night,Productivity,27,0,0,1,162.6,Medium,2,0,1,Low
24522824,2026-05-08 07:33:41,Morning,Gaming,39,1,0,0,159.7,Low,5,11,2,High
24522824,2026-05-08 08:50:41,Morning,Entertainment,74,1,1,0,158.42,Medium,5,12,9,High
24522824,2026-05-08 11:09:41,Morning,Productivity,19,0,0,0,156.1,Low,1,6,1,Low
24522824,2026-05-08 13:37:41,Afternoon,System,6,0,0,0,153.63,Medium,3,2,1,Medium
24522824,2026-05-08 13:51:41,Afternoon,Productivity,24,0,0,0,153.4,High,1,3,5,Low
24522824,2026-05-08 14:15:41,Afternoon,Productivity,27,1,1,0,153.0,High,4,0,1,Low
24522824,2026-05-08 14:57:41,Afternoon,Productivity,32,1,1,0,152.3,High,3,7,3,Low
24522824,2026-05-08 16:01:41,Afternoon,Entertainment,15,1,1,0,151.23,Medium,5,7,1,High
24522824,2026-05-08 18:57:41,Evening,Gaming,66,0,0,0,148.3,High,3,4,9,Medium
24522824,2026-05-08 19:37:41,Evening,Social,19,0,1,0,147.63,Low,4,23,5,High
24522824,2026-05-08 20:45:41,Evening,Productivity,16,0,1,0,146.5,High,0,4,2,Low
24522824,2026-05-08 21:53:41,Evening,Social,22,0,1,0,145.37,Medium,4,17,1,High
24522824,2026-05-08 23:03:41,Night,Social,42,0,0,1,144.2,Medium,4,29,5,High
24522824,2026-05-08 23:46:41,Night,Entertainment,52,0,0,1,143.48,High,4,9,7,High
24522824,2026-05-09 01:57:41,Night,Social,29,0,0,1,141.3,Medium,3,30,1,High
